@relation putdown_Reward-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.AddValues-Cfirst-L_-weka.filters.unsupervised.attribute.StringToNominal-Rlast

@attribute reward {-1,19,_}
@attribute Taxi0:x {0,3,4}
@attribute Taxi0:y {0,4}
@attribute Taxi0:taxiOccupied {-1452041902}
@attribute Passenger0:x {0,3,4}
@attribute Passenger0:y {0,4}
@attribute Passenger0:inTaxi {-1452041902}
@attribute Passenger0:goalLocation {225491955,1486680232,2004980118,2141485980}
@attribute Passenger0:justPickedUp {1409522915}
@attribute Location3:x {4}
@attribute Location3:y {4}
@attribute Location3:color {1216815575}
@attribute Location1:x {0}
@attribute Location1:y {0}
@attribute Location1:color {-2135218912}
@attribute Location2:x {3}
@attribute Location2:y {0}
@attribute Location2:color {-237761696}
@attribute Location0:x {0}
@attribute Location0:y {4}
@attribute Location0:color {-1955850956}
@attribute Wall1:startX {0}
@attribute Wall1:startY {0}
@attribute Wall1:length {5}
@attribute Wall1:isHorizontal {-1452041902}
@attribute Wall0:startX {0}
@attribute Wall0:startY {0}
@attribute Wall0:length {5}
@attribute Wall0:isHorizontal {1409522915}
@attribute Wall6:startX {2}
@attribute Wall6:startY {3}
@attribute Wall6:length {2}
@attribute Wall6:isHorizontal {1409522915}
@attribute Wall5:startX {3}
@attribute Wall5:startY {0}
@attribute Wall5:length {2}
@attribute Wall5:isHorizontal {1409522915}
@attribute Wall4:startX {1}
@attribute Wall4:startY {0}
@attribute Wall4:length {2}
@attribute Wall4:isHorizontal {1409522915}
@attribute Wall3:startX {0}
@attribute Wall3:startY {5}
@attribute Wall3:length {5}
@attribute Wall3:isHorizontal {-1452041902}
@attribute Wall2:startX {5}
@attribute Wall2:startY {0}
@attribute Wall2:length {5}
@attribute Wall2:isHorizontal {1409522915}

@data
-1,0,4,-1452041902,0,4,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
19,0,0,-1452041902,0,0,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,0,4,-1452041902,0,4,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,0,4,-1452041902,0,4,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,3,0,-1452041902,3,0,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,4,4,-1452041902,4,4,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,4,4,-1452041902,4,4,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
19,0,0,-1452041902,0,0,-1452041902,225491955,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,4,4,-1452041902,4,4,-1452041902,1486680232,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
-1,0,0,-1452041902,0,0,-1452041902,1486680232,1409522915,4,4,1216815575,0,0,-2135218912,3,0,-237761696,0,4,-1955850956,0,0,5,-1452041902,0,0,5,1409522915,2,3,2,1409522915,3,0,2,1409522915,1,0,2,1409522915,0,5,5,-1452041902,5,0,5,1409522915
