agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-AMDP,0,0,-127.0,-1.27,100.0,100.0
R-AMDP,0,1,-263.0,-1.36,200.0,100.0
R-AMDP,0,2,-388.0,-1.25,300.0,100.0
R-AMDP,0,3,-511.0,-1.23,400.0,100.0
R-AMDP,0,4,-46.0,16.03448275862069,429.0,29.0
R-AMDP,0,5,448.0,70.57142857142857,436.0,7.0
R-AMDP,0,6,942.0,70.57142857142857,443.0,7.0
R-AMDP,0,7,1356.0,5.830985915492958,514.0,71.0
R-AMDP,0,8,1846.0,44.54545454545455,525.0,11.0
R-AMDP,0,9,2338.0,54.666666666666664,534.0,9.0
R-AMDP,0,10,2824.0,32.4,549.0,15.0
R-AMDP,0,11,3318.0,70.57142857142857,556.0,7.0
R-AMDP,0,12,3810.0,54.666666666666664,565.0,9.0
R-AMDP,0,13,4302.0,54.666666666666664,574.0,9.0
R-AMDP,0,14,4792.0,44.54545454545455,585.0,11.0
R-AMDP,0,15,5282.0,44.54545454545455,596.0,11.0
R-AMDP,0,16,5776.0,70.57142857142857,603.0,7.0
R-AMDP,0,17,6270.0,70.57142857142857,610.0,7.0
R-AMDP,0,18,6762.0,54.666666666666664,619.0,9.0
R-AMDP,0,19,7254.0,54.666666666666664,628.0,9.0
R-AMDP,0,20,7748.0,70.57142857142857,635.0,7.0
R-AMDP,0,21,8240.0,54.666666666666664,644.0,9.0
R-AMDP,0,22,8734.0,70.57142857142857,651.0,7.0
R-AMDP,0,23,9228.0,70.57142857142857,658.0,7.0
R-AMDP,0,24,9720.0,54.666666666666664,667.0,9.0
R-AMDP,0,25,10210.0,44.54545454545455,678.0,11.0
R-AMDP,0,26,10698.0,37.53846153846154,691.0,13.0
R-AMDP,0,27,11192.0,70.57142857142857,698.0,7.0
R-AMDP,0,28,11682.0,44.54545454545455,709.0,11.0
R-AMDP,0,29,12176.0,70.57142857142857,716.0,7.0
R-AMDP,0,30,12670.0,70.57142857142857,723.0,7.0
R-AMDP,0,31,13164.0,70.57142857142857,730.0,7.0
R-AMDP,0,32,13658.0,70.57142857142857,737.0,7.0
R-AMDP,0,33,14152.0,70.57142857142857,744.0,7.0
R-AMDP,0,34,14642.0,44.54545454545455,755.0,11.0
R-AMDP,0,35,15128.0,32.4,770.0,15.0
R-AMDP,0,36,15622.0,70.57142857142857,777.0,7.0
R-AMDP,0,37,16116.0,70.57142857142857,784.0,7.0
R-AMDP,0,38,16606.0,44.54545454545455,795.0,11.0
R-AMDP,0,39,17100.0,70.57142857142857,802.0,7.0
R-AMDP,0,40,17594.0,70.57142857142857,809.0,7.0
R-AMDP,0,41,18088.0,70.57142857142857,816.0,7.0
R-AMDP,0,42,18578.0,44.54545454545455,827.0,11.0
R-AMDP,0,43,19072.0,70.57142857142857,834.0,7.0
R-AMDP,0,44,19562.0,44.54545454545455,845.0,11.0
R-AMDP,0,45,20052.0,44.54545454545455,856.0,11.0
R-AMDP,0,46,20546.0,70.57142857142857,863.0,7.0
R-AMDP,0,47,21034.0,37.53846153846154,876.0,13.0
R-AMDP,0,48,21528.0,70.57142857142857,883.0,7.0
R-AMDP,0,49,22020.0,54.666666666666664,892.0,9.0
R-AMDP,0,50,22510.0,44.54545454545455,903.0,11.0
R-AMDP,0,51,23002.0,54.666666666666664,912.0,9.0
R-AMDP,0,52,23496.0,70.57142857142857,919.0,7.0
R-AMDP,0,53,23990.0,70.57142857142857,926.0,7.0
R-AMDP,0,54,24480.0,44.54545454545455,937.0,11.0
R-AMDP,0,55,24972.0,54.666666666666664,946.0,9.0
R-AMDP,0,56,25466.0,70.57142857142857,953.0,7.0
R-AMDP,0,57,25958.0,54.666666666666664,962.0,9.0
R-AMDP,0,58,26452.0,70.57142857142857,969.0,7.0
R-AMDP,0,59,26946.0,70.57142857142857,976.0,7.0
R-AMDP,0,60,27438.0,54.666666666666664,985.0,9.0
R-AMDP,0,61,27928.0,44.54545454545455,996.0,11.0
R-AMDP,0,62,28418.0,44.54545454545455,1007.0,11.0
R-AMDP,0,63,28904.0,32.4,1022.0,15.0
R-AMDP,0,64,29398.0,70.57142857142857,1029.0,7.0
R-AMDP,0,65,29888.0,44.54545454545455,1040.0,11.0
R-AMDP,0,66,30382.0,70.57142857142857,1047.0,7.0
R-AMDP,0,67,30872.0,44.54545454545455,1058.0,11.0
R-AMDP,0,68,31356.0,28.470588235294116,1075.0,17.0
R-AMDP,0,69,31846.0,44.54545454545455,1086.0,11.0
R-AMDP,0,70,32338.0,54.666666666666664,1095.0,9.0
R-AMDP,0,71,32830.0,54.666666666666664,1104.0,9.0
R-AMDP,0,72,33322.0,54.666666666666664,1113.0,9.0
R-AMDP,0,73,33804.0,25.36842105263158,1132.0,19.0
R-AMDP,0,74,34298.0,70.57142857142857,1139.0,7.0
R-AMDP,0,75,34790.0,54.666666666666664,1148.0,9.0
R-AMDP,0,76,35280.0,44.54545454545455,1159.0,11.0
R-AMDP,0,77,35770.0,44.54545454545455,1170.0,11.0
R-AMDP,0,78,36264.0,70.57142857142857,1177.0,7.0
R-AMDP,0,79,36756.0,54.666666666666664,1186.0,9.0
R-AMDP,0,80,37248.0,54.666666666666664,1195.0,9.0
R-AMDP,0,81,37742.0,70.57142857142857,1202.0,7.0
R-AMDP,0,82,38234.0,54.666666666666664,1211.0,9.0
R-AMDP,0,83,38728.0,70.57142857142857,1218.0,7.0
R-AMDP,0,84,39222.0,70.57142857142857,1225.0,7.0
R-AMDP,0,85,39714.0,54.666666666666664,1234.0,9.0
R-AMDP,0,86,40208.0,70.57142857142857,1241.0,7.0
R-AMDP,0,87,40700.0,54.666666666666664,1250.0,9.0
R-AMDP,0,88,41194.0,70.57142857142857,1257.0,7.0
R-AMDP,0,89,41686.0,54.666666666666664,1266.0,9.0
R-AMDP,0,90,42176.0,44.54545454545455,1277.0,11.0
R-AMDP,0,91,42666.0,44.54545454545455,1288.0,11.0
R-AMDP,0,92,43152.0,32.4,1303.0,15.0
