agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-AMDP,0,0,-127.0,-1.27,100.0,100.0
R-AMDP,0,1,-65.0,1.878787878787879,133.0,33.0
R-AMDP,0,2,-197.0,-1.32,233.0,100.0
R-AMDP,0,3,-128.0,2.6538461538461537,259.0,26.0
R-AMDP,0,4,-256.0,-1.28,359.0,100.0
R-AMDP,0,5,-379.0,-1.23,459.0,100.0
R-AMDP,0,6,-496.0,-1.17,559.0,100.0
R-AMDP,0,7,-619.0,-1.23,659.0,100.0
R-AMDP,0,8,-738.0,-1.19,759.0,100.0
R-AMDP,0,9,-860.0,-1.22,859.0,100.0
R-AMDP,0,10,-983.0,-1.23,959.0,100.0
R-AMDP,0,11,-1102.0,-1.19,1059.0,100.0
R-AMDP,0,12,-1227.0,-1.25,1159.0,100.0
R-AMDP,0,13,-1346.0,-1.19,1259.0,100.0
R-AMDP,0,14,-1466.0,-1.2,1359.0,100.0
R-AMDP,0,15,-1580.0,-1.14,1459.0,100.0
R-AMDP,0,16,-1709.0,-1.29,1559.0,100.0
R-AMDP,0,17,-1824.0,-1.15,1659.0,100.0
R-AMDP,0,18,-1731.0,11.625,1667.0,8.0
R-AMDP,0,19,-1657.0,2.96,1692.0,25.0
R-AMDP,0,20,-1564.0,11.625,1700.0,8.0
R-AMDP,0,21,-1484.0,4.444444444444445,1718.0,18.0
R-AMDP,0,22,-1391.0,11.625,1726.0,8.0
R-AMDP,0,23,-1307.0,5.25,1742.0,16.0
R-AMDP,0,24,-1427.0,-1.2,1842.0,100.0
R-AMDP,0,25,-1334.0,11.625,1850.0,8.0
R-AMDP,0,26,-1241.0,11.625,1858.0,8.0
R-AMDP,0,27,-1183.0,1.6571428571428573,1893.0,35.0
R-AMDP,0,28,-1305.0,-1.22,1993.0,100.0
R-AMDP,0,29,-1212.0,11.625,2001.0,8.0
R-AMDP,0,30,-1119.0,11.625,2009.0,8.0
R-AMDP,0,31,-1026.0,11.625,2017.0,8.0
R-AMDP,0,32,-933.0,11.625,2025.0,8.0
R-AMDP,0,33,-840.0,11.625,2033.0,8.0
R-AMDP,0,34,-747.0,11.625,2041.0,8.0
R-AMDP,0,35,-654.0,11.625,2049.0,8.0
R-AMDP,0,36,-561.0,11.625,2057.0,8.0
R-AMDP,0,37,-468.0,11.625,2065.0,8.0
R-AMDP,0,38,-375.0,11.625,2073.0,8.0
R-AMDP,0,39,-282.0,11.625,2081.0,8.0
R-AMDP,0,40,-189.0,11.625,2089.0,8.0
R-AMDP,0,41,-96.0,11.625,2097.0,8.0
R-AMDP,0,42,-3.0,11.625,2105.0,8.0
R-AMDP,0,43,90.0,11.625,2113.0,8.0
R-AMDP,0,44,183.0,11.625,2121.0,8.0
R-AMDP,0,45,276.0,11.625,2129.0,8.0
R-AMDP,0,46,369.0,11.625,2137.0,8.0
R-AMDP,0,47,462.0,11.625,2145.0,8.0
R-AMDP,0,48,555.0,11.625,2153.0,8.0
R-AMDP,0,49,648.0,11.625,2161.0,8.0
R-AMDP,0,50,741.0,11.625,2169.0,8.0
R-AMDP,0,51,834.0,11.625,2177.0,8.0
R-AMDP,0,52,927.0,11.625,2185.0,8.0
R-AMDP,0,53,1020.0,11.625,2193.0,8.0
R-AMDP,0,54,1113.0,11.625,2201.0,8.0
R-AMDP,0,55,1206.0,11.625,2209.0,8.0
R-AMDP,0,56,1299.0,11.625,2217.0,8.0
R-AMDP,0,57,1392.0,11.625,2225.0,8.0
R-AMDP,0,58,1485.0,11.625,2233.0,8.0
R-AMDP,0,59,1578.0,11.625,2241.0,8.0
R-AMDP,0,60,1671.0,11.625,2249.0,8.0
R-AMDP,0,61,1764.0,11.625,2257.0,8.0
R-AMDP,0,62,1857.0,11.625,2265.0,8.0
R-AMDP,0,63,1950.0,11.625,2273.0,8.0
R-AMDP,0,64,2043.0,11.625,2281.0,8.0
R-AMDP,0,65,2136.0,11.625,2289.0,8.0
R-AMDP,0,66,2229.0,11.625,2297.0,8.0
R-AMDP,0,67,2322.0,11.625,2305.0,8.0
R-AMDP,0,68,2415.0,11.625,2313.0,8.0
R-AMDP,0,69,2508.0,11.625,2321.0,8.0
R-AMDP,0,70,2601.0,11.625,2329.0,8.0
R-AMDP,0,71,2694.0,11.625,2337.0,8.0
R-AMDP,0,72,2787.0,11.625,2345.0,8.0
R-AMDP,0,73,2880.0,11.625,2353.0,8.0
R-AMDP,0,74,2973.0,11.625,2361.0,8.0
R-AMDP,0,75,3066.0,11.625,2369.0,8.0
R-AMDP,0,76,3159.0,11.625,2377.0,8.0
R-AMDP,0,77,3252.0,11.625,2385.0,8.0
R-AMDP,0,78,3345.0,11.625,2393.0,8.0
R-AMDP,0,79,3438.0,11.625,2401.0,8.0
R-AMDP,0,80,3531.0,11.625,2409.0,8.0
R-AMDP,0,81,3624.0,11.625,2417.0,8.0
R-AMDP,0,82,3717.0,11.625,2425.0,8.0
R-AMDP,0,83,3810.0,11.625,2433.0,8.0
R-AMDP,0,84,3903.0,11.625,2441.0,8.0
R-AMDP,0,85,3996.0,11.625,2449.0,8.0
R-AMDP,0,86,4089.0,11.625,2457.0,8.0
R-AMDP,0,87,4182.0,11.625,2465.0,8.0
R-AMDP,0,88,4275.0,11.625,2473.0,8.0
R-AMDP,0,89,4368.0,11.625,2481.0,8.0
R-AMDP,0,90,4461.0,11.625,2489.0,8.0
R-AMDP,0,91,4554.0,11.625,2497.0,8.0
R-AMDP,0,92,4647.0,11.625,2505.0,8.0
R-AMDP,0,93,4740.0,11.625,2513.0,8.0
R-AMDP,0,94,4833.0,11.625,2521.0,8.0
R-AMDP,0,95,4926.0,11.625,2529.0,8.0
R-AMDP,0,96,5019.0,11.625,2537.0,8.0
R-AMDP,0,97,5112.0,11.625,2545.0,8.0
R-AMDP,0,98,5205.0,11.625,2553.0,8.0
R-AMDP,0,99,5298.0,11.625,2561.0,8.0
R-AMDP,1,0,-127.0,-1.27,100.0,100.0
R-AMDP,1,1,-255.0,-1.28,200.0,100.0
R-AMDP,1,2,-380.0,-1.25,300.0,100.0
R-AMDP,1,3,-505.0,-1.25,400.0,100.0
