agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-AMDP,0,0,443.0,10.068181818181818,44.0,44.0
R-AMDP,0,1,314.0,-1.29,144.0,100.0
R-AMDP,0,2,804.0,49.0,154.0,10.0
R-AMDP,0,3,1254.0,10.714285714285714,196.0,42.0
R-AMDP,0,4,1706.0,12.216216216216216,233.0,37.0
R-AMDP,0,5,1577.0,-1.29,333.0,100.0
R-AMDP,0,6,1453.0,-1.24,433.0,100.0
R-AMDP,0,7,1325.0,-1.28,533.0,100.0
R-AMDP,0,8,1818.0,82.16666666666667,539.0,6.0
R-AMDP,0,9,2312.0,70.57142857142857,546.0,7.0
R-AMDP,0,10,2789.0,26.5,564.0,18.0
R-AMDP,0,11,2663.0,-1.26,664.0,100.0
R-AMDP,0,12,3148.0,37.30769230769231,677.0,13.0
R-AMDP,0,13,3641.0,70.42857142857143,684.0,7.0
R-AMDP,0,14,3519.0,-1.22,784.0,100.0
R-AMDP,0,15,3980.0,14.40625,816.0,32.0
R-AMDP,0,16,4366.0,4.337078651685394,905.0,89.0
R-AMDP,0,17,4861.0,99.0,910.0,5.0
R-AMDP,0,18,5359.0,166.0,913.0,3.0
R-AMDP,0,19,5855.0,99.2,918.0,5.0
R-AMDP,0,20,6353.0,166.0,921.0,3.0
R-AMDP,0,21,6851.0,166.0,924.0,3.0
R-AMDP,0,22,7349.0,166.0,927.0,3.0
R-AMDP,0,23,7847.0,166.0,930.0,3.0
R-AMDP,0,24,8345.0,166.0,933.0,3.0
R-AMDP,0,25,8843.0,166.0,936.0,3.0
R-AMDP,0,26,9341.0,166.0,939.0,3.0
R-AMDP,0,27,9839.0,166.0,942.0,3.0
R-AMDP,0,28,10337.0,166.0,945.0,3.0
R-AMDP,0,29,10835.0,166.0,948.0,3.0
R-AMDP,0,30,11333.0,166.0,951.0,3.0
R-AMDP,0,31,11831.0,166.0,954.0,3.0
R-AMDP,0,32,12329.0,166.0,957.0,3.0
R-AMDP,0,33,12827.0,166.0,960.0,3.0
R-AMDP,0,34,13325.0,166.0,963.0,3.0
R-AMDP,0,35,13823.0,166.0,966.0,3.0
R-AMDP,0,36,14321.0,166.0,969.0,3.0
R-AMDP,0,37,14819.0,166.0,972.0,3.0
R-AMDP,0,38,15317.0,166.0,975.0,3.0
R-AMDP,0,39,15815.0,166.0,978.0,3.0
R-AMDP,0,40,16313.0,166.0,981.0,3.0
R-AMDP,0,41,16811.0,166.0,984.0,3.0
R-AMDP,0,42,17309.0,166.0,987.0,3.0
R-AMDP,0,43,17807.0,166.0,990.0,3.0
R-AMDP,0,44,18305.0,166.0,993.0,3.0
R-AMDP,0,45,18803.0,166.0,996.0,3.0
R-AMDP,0,46,19301.0,166.0,999.0,3.0
R-AMDP,0,47,19799.0,166.0,1002.0,3.0
R-AMDP,0,48,20297.0,166.0,1005.0,3.0
R-AMDP,0,49,20795.0,166.0,1008.0,3.0
R-AMDP,0,50,21293.0,166.0,1011.0,3.0
R-AMDP,0,51,21791.0,166.0,1014.0,3.0
R-AMDP,0,52,22289.0,166.0,1017.0,3.0
R-AMDP,0,53,22787.0,166.0,1020.0,3.0
R-AMDP,0,54,23285.0,166.0,1023.0,3.0
R-AMDP,0,55,23783.0,166.0,1026.0,3.0
R-AMDP,0,56,24281.0,166.0,1029.0,3.0
R-AMDP,0,57,24779.0,166.0,1032.0,3.0
R-AMDP,0,58,25277.0,166.0,1035.0,3.0
R-AMDP,0,59,25775.0,166.0,1038.0,3.0
R-AMDP,0,60,26273.0,166.0,1041.0,3.0
R-AMDP,0,61,26771.0,166.0,1044.0,3.0
R-AMDP,0,62,27269.0,166.0,1047.0,3.0
R-AMDP,0,63,27767.0,166.0,1050.0,3.0
R-AMDP,0,64,28265.0,166.0,1053.0,3.0
R-AMDP,0,65,28763.0,166.0,1056.0,3.0
R-AMDP,0,66,29261.0,166.0,1059.0,3.0
R-AMDP,0,67,29759.0,166.0,1062.0,3.0
R-AMDP,0,68,30257.0,166.0,1065.0,3.0
R-AMDP,0,69,30755.0,166.0,1068.0,3.0
R-AMDP,0,70,31253.0,166.0,1071.0,3.0
R-AMDP,0,71,31751.0,166.0,1074.0,3.0
R-AMDP,0,72,32249.0,166.0,1077.0,3.0
R-AMDP,0,73,32747.0,166.0,1080.0,3.0
R-AMDP,0,74,33245.0,166.0,1083.0,3.0
R-AMDP,0,75,33743.0,166.0,1086.0,3.0
R-AMDP,0,76,34241.0,166.0,1089.0,3.0
R-AMDP,0,77,34739.0,166.0,1092.0,3.0
R-AMDP,0,78,35237.0,166.0,1095.0,3.0
R-AMDP,0,79,35735.0,166.0,1098.0,3.0
R-AMDP,0,80,36233.0,166.0,1101.0,3.0
R-AMDP,0,81,36731.0,166.0,1104.0,3.0
R-AMDP,0,82,37229.0,166.0,1107.0,3.0
R-AMDP,0,83,37727.0,166.0,1110.0,3.0
R-AMDP,0,84,38225.0,166.0,1113.0,3.0
R-AMDP,0,85,38723.0,166.0,1116.0,3.0
R-AMDP,0,86,39221.0,166.0,1119.0,3.0
R-AMDP,0,87,39719.0,166.0,1122.0,3.0
R-AMDP,0,88,40217.0,166.0,1125.0,3.0
R-AMDP,0,89,40715.0,166.0,1128.0,3.0
R-AMDP,0,90,41213.0,166.0,1131.0,3.0
R-AMDP,0,91,41711.0,166.0,1134.0,3.0
R-AMDP,0,92,42209.0,166.0,1137.0,3.0
R-AMDP,0,93,42707.0,166.0,1140.0,3.0
R-AMDP,0,94,43205.0,166.0,1143.0,3.0
R-AMDP,0,95,43703.0,166.0,1146.0,3.0
R-AMDP,0,96,44201.0,166.0,1149.0,3.0
R-AMDP,0,97,44699.0,166.0,1152.0,3.0
R-AMDP,0,98,45197.0,166.0,1155.0,3.0
R-AMDP,0,99,45695.0,166.0,1158.0,3.0
R-AMDP,1,0,457.0,13.441176470588236,34.0,34.0
R-AMDP,1,1,922.0,15.0,65.0,31.0
R-AMDP,1,2,1311.0,4.322222222222222,155.0,90.0
R-AMDP,1,3,1715.0,5.315789473684211,231.0,76.0
R-AMDP,1,4,2117.0,5.506849315068493,304.0,73.0
R-AMDP,1,5,2600.0,34.5,318.0,14.0
R-AMDP,1,6,3093.0,82.16666666666667,324.0,6.0
R-AMDP,1,7,3546.0,12.942857142857143,359.0,35.0
R-AMDP,1,8,3413.0,-1.33,459.0,100.0
R-AMDP,1,9,3291.0,-1.22,559.0,100.0
R-AMDP,1,10,3747.0,12.324324324324325,596.0,37.0
R-AMDP,1,11,3617.0,-1.3,696.0,100.0
R-AMDP,1,12,3485.0,-1.32,796.0,100.0
R-AMDP,1,13,3980.0,99.0,801.0,5.0
R-AMDP,1,14,3852.0,-1.28,901.0,100.0
R-AMDP,1,15,4348.0,99.2,906.0,5.0
R-AMDP,1,16,4841.0,70.42857142857143,913.0,7.0
R-AMDP,1,17,4706.0,-1.35,1013.0,100.0
R-AMDP,1,18,5153.0,10.642857142857142,1055.0,42.0
R-AMDP,1,19,5648.0,82.5,1061.0,6.0
R-AMDP,1,20,6146.0,166.0,1064.0,3.0
R-AMDP,1,21,6644.0,166.0,1067.0,3.0
R-AMDP,1,22,7139.0,99.0,1072.0,5.0
R-AMDP,1,23,7637.0,166.0,1075.0,3.0
R-AMDP,1,24,8135.0,166.0,1078.0,3.0
R-AMDP,1,25,8629.0,82.33333333333333,1084.0,6.0
R-AMDP,1,26,9127.0,166.0,1087.0,3.0
R-AMDP,1,27,9625.0,166.0,1090.0,3.0
R-AMDP,1,28,10123.0,166.0,1093.0,3.0
R-AMDP,1,29,10621.0,166.0,1096.0,3.0
R-AMDP,1,30,11119.0,166.0,1099.0,3.0
R-AMDP,1,31,11617.0,166.0,1102.0,3.0
R-AMDP,1,32,11493.0,-1.24,1202.0,100.0
R-AMDP,1,33,11991.0,166.0,1205.0,3.0
R-AMDP,1,34,12489.0,166.0,1208.0,3.0
R-AMDP,1,35,12987.0,166.0,1211.0,3.0
R-AMDP,1,36,13485.0,166.0,1214.0,3.0
R-AMDP,1,37,13983.0,166.0,1217.0,3.0
R-AMDP,1,38,14481.0,166.0,1220.0,3.0
R-AMDP,1,39,14979.0,166.0,1223.0,3.0
R-AMDP,1,40,15477.0,166.0,1226.0,3.0
R-AMDP,1,41,15975.0,166.0,1229.0,3.0
R-AMDP,1,42,16473.0,166.0,1232.0,3.0
R-AMDP,1,43,16971.0,166.0,1235.0,3.0
R-AMDP,1,44,17469.0,166.0,1238.0,3.0
R-AMDP,1,45,17967.0,166.0,1241.0,3.0
R-AMDP,1,46,18465.0,166.0,1244.0,3.0
R-AMDP,1,47,18963.0,166.0,1247.0,3.0
R-AMDP,1,48,19461.0,166.0,1250.0,3.0
R-AMDP,1,49,19959.0,166.0,1253.0,3.0
R-AMDP,1,50,20457.0,166.0,1256.0,3.0
R-AMDP,1,51,20955.0,166.0,1259.0,3.0
R-AMDP,1,52,21453.0,166.0,1262.0,3.0
R-AMDP,1,53,21951.0,166.0,1265.0,3.0
R-AMDP,1,54,22449.0,166.0,1268.0,3.0
R-AMDP,1,55,22947.0,166.0,1271.0,3.0
R-AMDP,1,56,23445.0,166.0,1274.0,3.0
R-AMDP,1,57,23943.0,166.0,1277.0,3.0
R-AMDP,1,58,24441.0,166.0,1280.0,3.0
R-AMDP,1,59,24939.0,166.0,1283.0,3.0
R-AMDP,1,60,25437.0,166.0,1286.0,3.0
R-AMDP,1,61,25935.0,166.0,1289.0,3.0
R-AMDP,1,62,26433.0,166.0,1292.0,3.0
R-AMDP,1,63,26931.0,166.0,1295.0,3.0
R-AMDP,1,64,27429.0,166.0,1298.0,3.0
R-AMDP,1,65,27927.0,166.0,1301.0,3.0
R-AMDP,1,66,28425.0,166.0,1304.0,3.0
R-AMDP,1,67,28923.0,166.0,1307.0,3.0
R-AMDP,1,68,29421.0,166.0,1310.0,3.0
