agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
PALM,0,0,-1.65,-0.12692307692307692,13.0,13.0
PALM,0,1,-3.3,-0.12692307692307692,26.0,13.0
PALM,0,2,-4.5,-0.30000000000000004,30.0,4.0
PALM,0,3,-5.9,-0.175,38.0,8.0
PALM,0,4,-7.25,-0.19285714285714287,45.0,7.0
PALM,0,5,-8.45,-0.30000000000000004,49.0,4.0
PALM,0,6,-9.85,-0.175,57.0,8.0
PALM,0,7,-11.299999999999999,-0.1611111111111111,66.0,9.0
PALM,0,8,-13.2,-0.10555555555555557,84.0,18.0
PALM,0,9,-14.45,-0.25,89.0,5.0
PALM,0,10,-15.7,-0.25,94.0,5.0
PALM,0,11,-17.6,-0.10555555555555557,112.0,18.0
PALM,0,12,-19.55,-0.10263157894736843,131.0,19.0
PALM,0,13,-21.25,-0.12142857142857144,145.0,14.0
PALM,0,14,-23.1,-0.10882352941176471,162.0,17.0
PALM,0,15,-25.35,-0.09000000000000002,187.0,25.0
PALM,0,16,-27.5,-0.09347826086956523,210.0,23.0
PALM,0,17,-29.5,-0.10000000000000002,230.0,20.0
PALM,0,18,-31.2,-0.12142857142857144,244.0,14.0
PALM,0,19,-33.2,-0.10000000000000002,264.0,20.0
PALM,0,20,-34.900000000000006,-0.12142857142857144,278.0,14.0
PALM,0,21,-37.10000000000001,-0.09166666666666667,302.0,24.0
PALM,0,22,-39.70000000000001,-0.08125000000000002,334.0,32.0
PALM,0,23,-42.30000000000001,-0.08125000000000002,366.0,32.0
PALM,0,24,-44.000000000000014,-0.12142857142857144,380.0,14.0
PALM,0,25,-46.750000000000014,-0.0785714285714286,415.0,35.0
PALM,0,26,-49.100000000000016,-0.08703703703703705,442.0,27.0
PALM,0,27,-50.750000000000014,-0.12692307692307692,455.0,13.0
PALM,0,28,-51.95000000000002,-0.30000000000000004,459.0,4.0
PALM,0,29,-53.15000000000002,-0.30000000000000004,463.0,4.0
PALM,0,30,-55.35000000000002,-0.09166666666666667,487.0,24.0
PALM,0,31,-57.550000000000026,-0.09166666666666667,511.0,24.0
PALM,0,32,-59.10000000000002,-0.1409090909090909,522.0,11.0
PALM,0,33,-60.300000000000026,-0.30000000000000004,526.0,4.0
PALM,0,34,-62.15000000000003,-0.10882352941176471,543.0,17.0
PALM,0,35,-65.95000000000003,-0.06785714285714282,599.0,56.0
PALM,0,36,-67.85000000000004,-0.10555555555555557,617.0,18.0
PALM,0,37,-69.95000000000003,-0.09545454545454547,639.0,22.0
PALM,0,38,-72.75000000000003,-0.07777777777777779,675.0,36.0
PALM,0,39,-74.75000000000003,-0.10000000000000002,695.0,20.0
PALM,0,40,-77.05000000000003,-0.0884615384615385,721.0,26.0
PALM,0,41,-79.00000000000003,-0.10263157894736843,740.0,19.0
PALM,0,42,-80.90000000000003,-0.10555555555555557,758.0,18.0
PALM,0,43,-85.45000000000003,-0.06408450704225345,829.0,71.0
PALM,0,44,-89.15000000000003,-0.06851851851851849,883.0,54.0
PALM,0,45,-91.25000000000003,-0.09545454545454547,905.0,22.0
PALM,0,46,-93.10000000000002,-0.10882352941176471,922.0,17.0
PALM,0,47,-97.30000000000003,-0.06562499999999995,986.0,64.0
PALM,0,48,-99.10000000000002,-0.11250000000000002,1002.0,16.0
PALM,0,49,-100.40000000000002,-0.21666666666666667,1008.0,6.0
PALM,0,50,-102.40000000000002,-0.10000000000000002,1028.0,20.0
PALM,0,51,-104.10000000000002,-0.12142857142857144,1042.0,14.0
PALM,0,52,-105.30000000000003,-0.30000000000000004,1046.0,4.0
PALM,0,53,-109.15000000000002,-0.06754385964912277,1103.0,57.0
PALM,0,54,-110.40000000000002,-0.25,1108.0,5.0
PALM,0,55,-113.35000000000002,-0.07564102564102566,1147.0,39.0
PALM,0,56,-116.80000000000003,-0.0704081632653061,1196.0,49.0
PALM,0,57,-118.75000000000003,-0.10263157894736843,1215.0,19.0
PALM,0,58,-121.30000000000003,-0.08225806451612906,1246.0,31.0
PALM,0,59,-122.70000000000003,-0.175,1254.0,8.0
PALM,0,60,-124.10000000000004,-0.175,1262.0,8.0
PALM,0,61,-126.55000000000004,-0.08448275862068967,1291.0,29.0
PALM,0,62,-130.95000000000005,-0.06470588235294111,1359.0,68.0
PALM,0,63,-132.20000000000005,-0.25,1364.0,5.0
PALM,0,64,-135.55000000000004,-0.07127659574468084,1411.0,47.0
PALM,0,65,-138.45000000000005,-0.07631578947368424,1449.0,38.0
PALM,0,66,-139.85000000000005,-0.175,1457.0,8.0
PALM,0,67,-143.05000000000004,-0.07272727272727274,1501.0,44.0
PALM,0,68,-146.00000000000003,-0.07564102564102566,1540.0,39.0
PALM,0,69,-149.20000000000002,-0.07272727272727274,1584.0,44.0
PALM,0,70,-152.9,-0.06851851851851849,1638.0,54.0
PALM,0,71,-154.3,-0.175,1646.0,8.0
PALM,0,72,-155.70000000000002,-0.175,1654.0,8.0
PALM,0,73,-158.45000000000002,-0.0785714285714286,1689.0,35.0
PALM,0,74,-160.20000000000002,-0.11666666666666667,1704.0,15.0
PALM,0,75,-162.25000000000003,-0.09761904761904763,1725.0,21.0
PALM,0,76,-164.65000000000003,-0.08571428571428573,1753.0,28.0
PALM,0,77,-166.30000000000004,-0.12692307692307692,1766.0,13.0
PALM,0,78,-169.90000000000003,-0.0692307692307692,1818.0,52.0
PALM,0,79,-172.15000000000003,-0.09000000000000002,1843.0,25.0
PALM,0,80,-174.10000000000002,-0.10263157894736843,1862.0,19.0
PALM,0,81,-176.00000000000003,-0.10555555555555557,1880.0,18.0
PALM,0,82,-178.25000000000003,-0.09000000000000002,1905.0,25.0
PALM,0,83,-180.55000000000004,-0.0884615384615385,1931.0,26.0
PALM,0,84,-182.75000000000003,-0.09166666666666667,1955.0,24.0
PALM,0,85,-184.95000000000002,-0.09166666666666667,1979.0,24.0
PALM,0,86,-186.60000000000002,-0.12692307692307692,1992.0,13.0
PALM,0,87,-190.00000000000003,-0.07083333333333332,2040.0,48.0
PALM,0,88,-191.75000000000003,-0.11666666666666667,2055.0,15.0
PALM,0,89,-193.65000000000003,-0.10555555555555557,2073.0,18.0
