agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
PALM with expert AMDP,0,0,-692.0,-0.77665544332211,891.0,891.0
PALM with expert AMDP,0,1,-1117.0,-0.6011315417256011,1598.0,707.0
PALM with expert AMDP,0,2,-2417.0,-1.3,2598.0,1000.0
PALM with expert AMDP,0,3,-2242.0,0.7172131147540983,2842.0,244.0
PALM with expert AMDP,0,4,-2568.0,-0.5182829888712241,3471.0,629.0
PALM with expert AMDP,0,5,-3018.0,-0.6189821182943603,4198.0,727.0
PALM with expert AMDP,0,6,-2852.0,0.6335877862595419,4460.0,262.0
PALM with expert AMDP,0,7,-4161.0,-1.309,5460.0,1000.0
PALM with expert AMDP,0,8,-4375.0,-0.4,5995.0,535.0
PALM with expert AMDP,0,9,-4721.0,-0.5282442748091603,6650.0,655.0
PALM with expert AMDP,0,10,-5276.0,-0.69375,7450.0,800.0
PALM with expert AMDP,0,11,-6567.0,-1.291,8450.0,1000.0
PALM with expert AMDP,0,12,-6934.0,-0.5577507598784195,9108.0,658.0
PALM with expert AMDP,0,13,-8253.0,-1.319,10108.0,1000.0
PALM with expert AMDP,0,14,-8119.0,0.50187265917603,10375.0,267.0
PALM with expert AMDP,0,15,-7824.0,1.8098159509202454,10538.0,163.0
PALM with expert AMDP,0,16,-8138.0,-0.4937106918238994,11174.0,636.0
PALM with expert AMDP,0,17,-8217.0,-0.17516629711751663,11625.0,451.0
PALM with expert AMDP,0,18,-9538.0,-1.321,12625.0,1000.0
PALM with expert AMDP,0,19,-10834.0,-1.296,13625.0,1000.0
PALM with expert AMDP,0,20,-10708.0,0.4214046822742475,13924.0,299.0
PALM with expert AMDP,0,21,-10658.0,0.1388888888888889,14284.0,360.0
PALM with expert AMDP,0,22,-10417.0,1.199004975124378,14485.0,201.0
PALM with expert AMDP,0,23,-11729.0,-1.312,15485.0,1000.0
PALM with expert AMDP,0,24,-13053.0,-1.324,16485.0,1000.0
PALM with expert AMDP,0,25,-12683.0,3.5238095238095237,16590.0,105.0
PALM with expert AMDP,0,26,-12948.0,-0.4608695652173913,17165.0,575.0
PALM with expert AMDP,0,27,-13042.0,-0.21218961625282168,17608.0,443.0
PALM with expert AMDP,0,28,-12719.0,2.3405797101449277,17746.0,138.0
PALM with expert AMDP,0,29,-12792.0,-0.16258351893095768,18195.0,449.0
PALM with expert AMDP,0,30,-14057.0,-1.265,19195.0,1000.0
PALM with expert AMDP,0,31,-14237.0,-0.3522504892367906,19706.0,511.0
PALM with expert AMDP,0,32,-13970.0,1.5257142857142858,19881.0,175.0
PALM with expert AMDP,0,33,-15282.0,-1.312,20881.0,1000.0
PALM with expert AMDP,0,34,-15710.0,-0.5831062670299727,21615.0,734.0
PALM with expert AMDP,0,35,-16377.0,-0.7452513966480447,22510.0,895.0
PALM with expert AMDP,0,36,-17676.0,-1.299,23510.0,1000.0
PALM with expert AMDP,0,37,-17407.0,1.5459770114942528,23684.0,174.0
PALM with expert AMDP,0,38,-17227.0,0.75,23924.0,240.0
PALM with expert AMDP,0,39,-18522.0,-1.295,24924.0,1000.0
PALM with expert AMDP,0,40,-18947.0,-0.5829903978052127,25653.0,729.0
PALM with expert AMDP,0,41,-20249.0,-1.302,26653.0,1000.0
PALM with expert AMDP,0,42,-19966.0,1.6171428571428572,26828.0,175.0
PALM with expert AMDP,0,43,-21280.0,-1.314,27828.0,1000.0
PALM with expert AMDP,0,44,-22579.0,-1.299,28828.0,1000.0
PALM with expert AMDP,0,45,-22594.0,-0.03865979381443299,29216.0,388.0
PALM with expert AMDP,0,46,-23904.0,-1.31,30216.0,1000.0
PALM with expert AMDP,0,47,-23730.0,0.7160493827160493,30459.0,243.0
PALM with expert AMDP,0,48,-24943.0,-1.213,31459.0,1000.0
PALM with expert AMDP,0,49,-26240.0,-1.297,32459.0,1000.0
PALM with expert AMDP,0,50,-26326.0,-0.1894273127753304,32913.0,454.0
PALM with expert AMDP,0,51,-26170.0,0.5886792452830188,33178.0,265.0
PALM with expert AMDP,0,52,-27464.0,-1.294,34178.0,1000.0
PALM with expert AMDP,0,53,-28746.0,-1.282,35178.0,1000.0
PALM with expert AMDP,0,54,-29332.0,-0.6976190476190476,36018.0,840.0
PALM with expert AMDP,0,55,-30627.0,-1.295,37018.0,1000.0
PALM with expert AMDP,0,56,-30223.0,5.45945945945946,37092.0,74.0
PALM with expert AMDP,0,57,-30417.0,-0.3409490333919156,37661.0,569.0
PALM with expert AMDP,0,58,-29981.0,8.549019607843137,37712.0,51.0
PALM with expert AMDP,0,59,-29782.0,0.8614718614718615,37943.0,231.0
PALM with expert AMDP,0,60,-30204.0,-0.5902097902097903,38658.0,715.0
PALM with expert AMDP,0,61,-30140.0,0.1927710843373494,38990.0,332.0
PALM with expert AMDP,0,62,-30669.0,-0.664572864321608,39786.0,796.0
PALM with expert AMDP,0,63,-31967.0,-1.298,40786.0,1000.0
PALM with expert AMDP,0,64,-33260.0,-1.293,41786.0,1000.0
PALM with expert AMDP,0,65,-32958.0,1.973856209150327,41939.0,153.0
PALM with expert AMDP,0,66,-32733.0,1.0321100917431192,42157.0,218.0
PALM with expert AMDP,0,67,-34026.0,-1.293,43157.0,1000.0
PALM with expert AMDP,0,68,-34635.0,-0.7181603773584906,44005.0,848.0
PALM with expert AMDP,0,69,-34977.0,-0.5245398773006135,44657.0,652.0
PALM with expert AMDP,0,70,-34901.0,0.2289156626506024,44989.0,332.0
PALM with expert AMDP,0,71,-36179.0,-1.278,45989.0,1000.0
PALM with expert AMDP,0,72,-37436.0,-1.257,46989.0,1000.0
PALM with expert AMDP,0,73,-37248.0,0.7768595041322314,47231.0,242.0
PALM with expert AMDP,0,74,-37694.0,-0.6272855133614628,47942.0,711.0
PALM with expert AMDP,0,75,-37711.0,-0.0405727923627685,48361.0,419.0
PALM with expert AMDP,0,76,-38248.0,-0.6317647058823529,49211.0,850.0
PALM with expert AMDP,0,77,-38048.0,0.796812749003984,49462.0,251.0
PALM with expert AMDP,0,78,-38566.0,-0.630937880633374,50283.0,821.0
PALM with expert AMDP,0,79,-38146.0,5.915492957746479,50354.0,71.0
PALM with expert AMDP,0,80,-38436.0,-0.4700162074554295,50971.0,617.0
PALM with expert AMDP,0,81,-38024.0,5.722222222222222,51043.0,72.0
PALM with expert AMDP,0,82,-38189.0,-0.32038834951456313,51558.0,515.0
PALM with expert AMDP,0,83,-38821.0,-0.7030033370411568,52457.0,899.0
PALM with expert AMDP,0,84,-40119.0,-1.298,53457.0,1000.0
PALM with expert AMDP,0,85,-41384.0,-1.265,54457.0,1000.0
PALM with expert AMDP,0,86,-42654.0,-1.27,55457.0,1000.0
PALM with expert AMDP,0,87,-43948.0,-1.294,56457.0,1000.0
PALM with expert AMDP,0,88,-45194.0,-1.246,57457.0,1000.0
PALM with expert AMDP,0,89,-44850.0,2.7086614173228347,57584.0,127.0
PALM with expert AMDP,0,90,-45357.0,-0.609375,58416.0,832.0
PALM with expert AMDP,0,91,-46076.0,-0.7616525423728814,59360.0,944.0
PALM with expert AMDP,0,92,-45765.0,2.1448275862068966,59505.0,145.0
PALM with expert AMDP,0,93,-45304.0,12.805555555555555,59541.0,36.0
PALM with expert AMDP,0,94,-44907.0,4.616279069767442,59627.0,86.0
PALM with expert AMDP,0,95,-45309.0,-0.5638148667601683,60340.0,713.0
PALM with expert AMDP,0,96,-46552.0,-1.243,61340.0,1000.0
PALM with expert AMDP,0,97,-47044.0,-0.6212121212121212,62132.0,792.0
PALM with expert AMDP,0,98,-46590.0,10.80952380952381,62174.0,42.0
PALM with expert AMDP,0,99,-47106.0,-0.6482412060301508,62970.0,796.0
