agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
QLearning,0,0,-634.0,-0.9694189602446484,654.0,654.0
QLearning,0,1,-1724.0,-0.9819819819819819,1764.0,1110.0
QLearning,0,2,-1937.0,-0.9141630901287554,1997.0,233.0
QLearning,0,3,-3370.0,-0.9862353750860289,3450.0,1453.0
QLearning,0,4,-3992.0,-0.9688473520249221,4092.0,642.0
QLearning,0,5,-4382.0,-0.9512195121951219,4502.0,410.0
QLearning,0,6,-4824.0,-0.9567099567099567,4964.0,462.0
QLearning,0,7,-6824.0,-1.0,6964.0,2000.0
QLearning,0,8,-8457.0,-0.9879007864488808,8617.0,1653.0
QLearning,0,9,-9772.0,-0.9850187265917603,9952.0,1335.0
QLearning,0,10,-10372.0,-0.967741935483871,10572.0,620.0
QLearning,0,11,-10531.0,-0.888268156424581,10751.0,179.0
QLearning,0,12,-11607.0,-0.9817518248175182,11847.0,1096.0
QLearning,0,13,-11928.0,-0.9413489736070382,12188.0,341.0
QLearning,0,14,-12297.0,-0.9485861182519281,12577.0,389.0
QLearning,0,15,-12697.0,-0.9523809523809523,12997.0,420.0
QLearning,0,16,-13558.0,-0.9772985244040863,13878.0,881.0
QLearning,0,17,-13779.0,-0.91701244813278,14119.0,241.0
QLearning,0,18,-14408.0,-0.9691833590138675,14768.0,649.0
QLearning,0,19,-14822.0,-0.9539170506912442,15202.0,434.0
QLearning,0,20,-15314.0,-0.9609375,15714.0,512.0
QLearning,0,21,-15474.0,-0.8888888888888888,15894.0,180.0
QLearning,0,22,-15793.0,-0.9410029498525073,16233.0,339.0
QLearning,0,23,-16483.0,-0.971830985915493,16943.0,710.0
QLearning,0,24,-16713.0,-0.92,17193.0,250.0
QLearning,0,25,-16853.0,-0.875,17353.0,160.0
QLearning,0,26,-17164.0,-0.9395770392749244,17684.0,331.0
QLearning,0,27,-17738.0,-0.9663299663299664,18278.0,594.0
QLearning,0,28,-18003.0,-0.9298245614035088,18563.0,285.0
QLearning,0,29,-18467.0,-0.9586776859504132,19047.0,484.0
QLearning,0,30,-18641.0,-0.8969072164948454,19241.0,194.0
QLearning,0,31,-19078.0,-0.9562363238512035,19698.0,457.0
QLearning,0,32,-19272.0,-0.9065420560747663,19912.0,214.0
QLearning,0,33,-19519.0,-0.9250936329588015,20179.0,267.0
QLearning,0,34,-20161.0,-0.9697885196374623,20841.0,662.0
QLearning,0,35,-20711.0,-0.9649122807017544,21411.0,570.0
QLearning,0,36,-21226.0,-0.9626168224299065,21946.0,535.0
QLearning,0,37,-21674.0,-0.9572649572649573,22414.0,468.0
QLearning,0,38,-21939.0,-0.9298245614035088,22699.0,285.0
QLearning,0,39,-22061.0,-0.8591549295774648,22841.0,142.0
QLearning,0,40,-22598.0,-0.9640933572710951,23398.0,557.0
QLearning,0,41,-23039.0,-0.9566160520607375,23859.0,461.0
QLearning,0,42,-23655.0,-0.9685534591194969,24495.0,636.0
QLearning,0,43,-23915.0,-0.9285714285714286,24775.0,280.0
QLearning,0,44,-24275.0,-0.9473684210526315,25155.0,380.0
QLearning,0,45,-25106.0,-0.9764982373678026,26006.0,851.0
QLearning,0,46,-25907.0,-0.9756394640682094,26827.0,821.0
QLearning,0,47,-26039.0,-0.868421052631579,26979.0,152.0
QLearning,0,48,-26356.0,-0.9406528189910979,27316.0,337.0
QLearning,0,49,-27018.0,-0.9706744868035191,27998.0,682.0
QLearning,0,50,-27328.0,-0.9393939393939394,28328.0,330.0
QLearning,0,51,-27819.0,-0.9608610567514677,28839.0,511.0
QLearning,0,52,-28120.0,-0.9376947040498442,29160.0,321.0
QLearning,0,53,-28365.0,-0.9245283018867925,29425.0,265.0
QLearning,0,54,-28957.0,-0.9673202614379085,30037.0,612.0
QLearning,0,55,-29064.0,-0.84251968503937,30164.0,127.0
QLearning,0,56,-29187.0,-0.8601398601398601,30307.0,143.0
QLearning,0,57,-30295.0,-0.9822695035460993,31435.0,1128.0
QLearning,0,58,-30473.0,-0.898989898989899,31633.0,198.0
QLearning,0,59,-30671.0,-0.908256880733945,31851.0,218.0
QLearning,0,60,-30924.0,-0.9267399267399268,32124.0,273.0
QLearning,0,61,-31179.0,-0.9272727272727272,32399.0,275.0
QLearning,0,62,-32357.0,-0.9833055091819699,33597.0,1198.0
QLearning,0,63,-32465.0,-0.84375,33725.0,128.0
QLearning,0,64,-33040.0,-0.9663865546218487,34320.0,595.0
QLearning,0,65,-33357.0,-0.9406528189910979,34657.0,337.0
QLearning,0,66,-34476.0,-0.9824407374890255,35796.0,1139.0
QLearning,0,67,-35387.0,-0.9785177228786252,36727.0,931.0
QLearning,0,68,-35474.0,-0.8130841121495327,36834.0,107.0
QLearning,0,69,-36325.0,-0.9770378874856487,37705.0,871.0
QLearning,0,70,-36397.0,-0.782608695652174,37797.0,92.0
QLearning,0,71,-36813.0,-0.9541284403669725,38233.0,436.0
QLearning,0,72,-37003.0,-0.9047619047619048,38443.0,210.0
QLearning,0,73,-37860.0,-0.9771949828962372,39320.0,877.0
QLearning,0,74,-38155.0,-0.9365079365079365,39635.0,315.0
QLearning,0,75,-38384.0,-0.9196787148594378,39884.0,249.0
QLearning,0,76,-38584.0,-0.9090909090909091,40104.0,220.0
QLearning,0,77,-39815.0,-0.9840127897681854,41355.0,1251.0
QLearning,0,78,-39949.0,-0.8701298701298701,41509.0,154.0
QLearning,0,79,-40253.0,-0.9382716049382716,41833.0,324.0
QLearning,0,80,-40918.0,-0.9708029197080292,42518.0,685.0
QLearning,0,81,-41133.0,-0.9148936170212766,42753.0,235.0
QLearning,0,82,-41261.0,-0.8648648648648649,42901.0,148.0
QLearning,0,83,-41990.0,-0.9732977303070761,43650.0,749.0
QLearning,0,84,-42509.0,-0.9628942486085343,44189.0,539.0
QLearning,0,85,-43007.0,-0.9613899613899614,44707.0,518.0
QLearning,0,86,-43116.0,-0.8449612403100775,44836.0,129.0
QLearning,0,87,-43862.0,-0.9738903394255874,45602.0,766.0
QLearning,0,88,-44770.0,-0.978448275862069,46530.0,928.0
QLearning,0,89,-45124.0,-0.946524064171123,46904.0,374.0
QLearning,0,90,-45363.0,-0.9227799227799228,47163.0,259.0
QLearning,0,91,-45639.0,-0.9324324324324325,47459.0,296.0
QLearning,0,92,-46189.0,-0.9649122807017544,48029.0,570.0
QLearning,0,93,-46271.0,-0.803921568627451,48131.0,102.0
QLearning,0,94,-46910.0,-0.9696509863429439,48790.0,659.0
QLearning,0,95,-47027.0,-0.8540145985401459,48927.0,137.0
QLearning,0,96,-47646.0,-0.9687010954616588,49566.0,639.0
QLearning,0,97,-47765.0,-0.8561151079136691,49705.0,139.0
QLearning,0,98,-47935.0,-0.8947368421052632,49895.0,190.0
QLearning,0,99,-48120.0,-0.9024390243902439,50100.0,205.0
QLearning,1,0,-189.0,-0.9043062200956937,209.0,209.0
QLearning,1,1,-676.0,-0.960552268244576,716.0,507.0
QLearning,1,2,-932.0,-0.927536231884058,992.0,276.0
QLearning,1,3,-2932.0,-1.0,2992.0,2000.0
QLearning,1,4,-3361.0,-0.955456570155902,3441.0,449.0
QLearning,1,5,-4105.0,-0.9738219895287958,4205.0,764.0
QLearning,1,6,-4755.0,-0.9701492537313433,4875.0,670.0
QLearning,1,7,-5357.0,-0.9678456591639871,5497.0,622.0
QLearning,1,8,-5750.0,-0.9515738498789347,5910.0,413.0
QLearning,1,9,-6149.0,-0.9522673031026253,6329.0,419.0
QLearning,1,10,-6267.0,-0.855072463768116,6467.0,138.0
QLearning,1,11,-6464.0,-0.9078341013824884,6684.0,217.0
