agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
PALM with expert AMDP,0,0,0.0,0.0,39.0,39.0
PALM with expert AMDP,0,1,0.0,0.0,109.0,70.0
PALM with expert AMDP,0,2,0.0,0.0,189.0,80.0
PALM with expert AMDP,0,3,0.0,0.0,200.0,11.0
PALM with expert AMDP,0,4,0.0,0.0,276.0,76.0
PALM with expert AMDP,0,5,0.0,0.0,288.0,12.0
PALM with expert AMDP,0,6,0.0,0.0,325.0,37.0
PALM with expert AMDP,0,7,0.0,0.0,425.0,100.0
PALM with expert AMDP,0,8,0.0,0.0,446.0,21.0
PALM with expert AMDP,0,9,0.0,0.0,469.0,23.0
PALM with expert AMDP,0,10,0.0,0.0,569.0,100.0
PALM with expert AMDP,0,11,0.0,0.0,584.0,15.0
PALM with expert AMDP,0,12,0.0,0.0,593.0,9.0
PALM with expert AMDP,0,13,0.0,0.0,605.0,12.0
PALM with expert AMDP,0,14,0.0,0.0,640.0,35.0
PALM with expert AMDP,0,15,0.0,0.0,740.0,100.0
PALM with expert AMDP,0,16,0.0,0.0,776.0,36.0
PALM with expert AMDP,0,17,0.0,0.0,836.0,60.0
PALM with expert AMDP,0,18,0.0,0.0,882.0,46.0
PALM with expert AMDP,0,19,0.0,0.0,912.0,30.0
PALM with expert AMDP,0,20,0.0,0.0,1012.0,100.0
PALM with expert AMDP,0,21,0.0,0.0,1065.0,53.0
PALM with expert AMDP,0,22,0.0,0.0,1078.0,13.0
PALM with expert AMDP,0,23,0.0,0.0,1141.0,63.0
PALM with expert AMDP,0,24,0.0,0.0,1170.0,29.0
PALM with expert AMDP,0,25,0.0,0.0,1256.0,86.0
PALM with expert AMDP,0,26,0.0,0.0,1329.0,73.0
PALM with expert AMDP,0,27,0.0,0.0,1429.0,100.0
PALM with expert AMDP,0,28,0.0,0.0,1529.0,100.0
PALM with expert AMDP,0,29,0.0,0.0,1571.0,42.0
PALM with expert AMDP,0,30,0.0,0.0,1587.0,16.0
PALM with expert AMDP,0,31,0.0,0.0,1687.0,100.0
PALM with expert AMDP,0,32,0.0,0.0,1761.0,74.0
PALM with expert AMDP,0,33,0.0,0.0,1772.0,11.0
