agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
PALM with expert AMDP,0,0,-69.39999999999814,-0.04928977272727141,1408.0,1408.0
PALM with expert AMDP,0,1,-82.3499999999982,-0.04641577060931922,1687.0,279.0
PALM with expert AMDP,0,2,-92.54999999999822,-0.045535714285714395,1911.0,224.0
PALM with expert AMDP,0,3,-93.34999999999822,-0.022222222222222247,1947.0,36.0
PALM with expert AMDP,0,4,-93.09999999999822,0.01666666666666666,1962.0,15.0
PALM with expert AMDP,0,5,-93.94999999999821,-0.022972972972973,1999.0,37.0
PALM with expert AMDP,0,6,-93.99999999999821,-0.0023809523809523937,2020.0,21.0
PALM with expert AMDP,0,7,-93.8499999999982,0.008823529411764694,2037.0,17.0
PALM with expert AMDP,0,8,-93.6999999999982,0.008823529411764694,2054.0,17.0
PALM with expert AMDP,0,9,-93.6499999999982,0.002631578947368406,2073.0,19.0
PALM with expert AMDP,0,10,-93.5999999999982,0.002631578947368406,2092.0,19.0
PALM with expert AMDP,0,11,-93.5499999999982,0.002631578947368406,2111.0,19.0
PALM with expert AMDP,0,12,-93.2999999999982,0.01666666666666666,2126.0,15.0
PALM with expert AMDP,0,13,-93.0499999999982,0.01666666666666666,2141.0,15.0
PALM with expert AMDP,0,14,-92.7999999999982,0.01666666666666666,2156.0,15.0
PALM with expert AMDP,0,15,-92.5499999999982,0.01666666666666666,2171.0,15.0
PALM with expert AMDP,0,16,-92.2999999999982,0.01666666666666666,2186.0,15.0
PALM with expert AMDP,0,17,-92.0499999999982,0.01666666666666666,2201.0,15.0
PALM with expert AMDP,0,18,-91.7999999999982,0.01666666666666666,2216.0,15.0
PALM with expert AMDP,0,19,-91.5499999999982,0.01666666666666666,2231.0,15.0
PALM with expert AMDP,0,20,-91.2999999999982,0.01666666666666666,2246.0,15.0
PALM with expert AMDP,0,21,-91.0499999999982,0.01666666666666666,2261.0,15.0
PALM with expert AMDP,0,22,-90.7999999999982,0.01666666666666666,2276.0,15.0
PALM with expert AMDP,0,23,-90.5499999999982,0.01666666666666666,2291.0,15.0
PALM with expert AMDP,0,24,-90.2999999999982,0.01666666666666666,2306.0,15.0
PALM with expert AMDP,0,25,-90.0499999999982,0.01666666666666666,2321.0,15.0
PALM with expert AMDP,0,26,-89.7999999999982,0.01666666666666666,2336.0,15.0
PALM with expert AMDP,0,27,-89.5499999999982,0.01666666666666666,2351.0,15.0
PALM with expert AMDP,0,28,-89.2999999999982,0.01666666666666666,2366.0,15.0
PALM with expert AMDP,0,29,-89.0499999999982,0.01666666666666666,2381.0,15.0
PALM with expert AMDP,0,30,-88.7999999999982,0.01666666666666666,2396.0,15.0
PALM with expert AMDP,0,31,-88.5499999999982,0.01666666666666666,2411.0,15.0
PALM with expert AMDP,0,32,-88.2999999999982,0.01666666666666666,2426.0,15.0
PALM with expert AMDP,0,33,-88.0499999999982,0.01666666666666666,2441.0,15.0
PALM with expert AMDP,0,34,-87.7999999999982,0.01666666666666666,2456.0,15.0
PALM with expert AMDP,0,35,-87.5499999999982,0.01666666666666666,2471.0,15.0
PALM with expert AMDP,0,36,-87.2999999999982,0.01666666666666666,2486.0,15.0
PALM with expert AMDP,0,37,-87.0499999999982,0.01666666666666666,2501.0,15.0
PALM with expert AMDP,0,38,-86.7999999999982,0.01666666666666666,2516.0,15.0
