agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-MAXQ,0,0,-500.0,-1.0,500.0,500.0
R-MAXQ,0,1,-1000.0,-1.0,1000.0,500.0
R-MAXQ,0,2,-1500.0,-1.0,1500.0,500.0
R-MAXQ,0,3,-2000.0,-1.0,2000.0,500.0
R-MAXQ,0,4,-2500.0,-1.0,2500.0,500.0
R-MAXQ,0,5,-3000.0,-1.0,3000.0,500.0
R-MAXQ,0,6,-3500.0,-1.0,3500.0,500.0
R-MAXQ,0,7,-4000.0,-1.0,4000.0,500.0
R-MAXQ,0,8,-4500.0,-1.0,4500.0,500.0
R-MAXQ,0,9,-5000.0,-1.0,5000.0,500.0
R-MAXQ,1,0,-500.0,-1.0,500.0,500.0
R-MAXQ,1,1,-1000.0,-1.0,1000.0,500.0
R-MAXQ,1,2,-1500.0,-1.0,1500.0,500.0
R-MAXQ,1,3,-1935.0,-0.9560439560439561,1955.0,455.0
R-MAXQ,1,4,-2435.0,-1.0,2455.0,500.0
R-MAXQ,1,5,-2935.0,-1.0,2955.0,500.0
R-MAXQ,1,6,-3435.0,-1.0,3455.0,500.0
R-MAXQ,1,7,-3935.0,-1.0,3955.0,500.0
R-MAXQ,1,8,-4435.0,-1.0,4455.0,500.0
R-MAXQ,1,9,-4935.0,-1.0,4955.0,500.0
R-AMDP,0,0,-500.0,-1.0,500.0,500.0
R-AMDP,0,1,-1000.0,-1.0,1000.0,500.0
R-AMDP,0,2,-1500.0,-1.0,1500.0,500.0
R-AMDP,0,3,-2000.0,-1.0,2000.0,500.0
R-AMDP,0,4,-2500.0,-1.0,2500.0,500.0
R-AMDP,0,5,-3000.0,-1.0,3000.0,500.0
R-AMDP,0,6,-3500.0,-1.0,3500.0,500.0
R-AMDP,0,7,-4000.0,-1.0,4000.0,500.0
R-AMDP,0,8,-4500.0,-1.0,4500.0,500.0
R-AMDP,0,9,-5000.0,-1.0,5000.0,500.0
R-AMDP,1,0,-500.0,-1.0,500.0,500.0
R-AMDP,1,1,-1000.0,-1.0,1000.0,500.0
R-AMDP,1,2,-1500.0,-1.0,1500.0,500.0
R-AMDP,1,3,-2000.0,-1.0,2000.0,500.0
R-AMDP,1,4,-2500.0,-1.0,2500.0,500.0
R-AMDP,1,5,-3000.0,-1.0,3000.0,500.0
R-AMDP,1,6,-3500.0,-1.0,3500.0,500.0
R-AMDP,1,7,-4000.0,-1.0,4000.0,500.0
R-AMDP,1,8,-4372.0,-0.9489795918367347,4392.0,392.0
R-AMDP,1,9,-4872.0,-1.0,4892.0,500.0
